   lamda     c0    c1      c2
  435.255713     6.47800E-03     1.64300E-05    -8.64800E-08
  435.350457     6.48000E-03     1.64700E-05    -8.51000E-08
  435.445243     6.48400E-03     1.64700E-05    -8.65100E-08
  435.540070     6.48800E-03     1.64700E-05    -8.65100E-08
  435.634938     6.49000E-03     1.65100E-05    -8.57500E-08
  435.729847     6.49300E-03     1.65500E-05    -8.43200E-08
  435.824798     6.49500E-03     1.65500E-05    -8.37000E-08
  435.919791     6.49900E-03     1.65500E-05    -8.37000E-08
  436.014825     6.50800E-03     1.65100E-05    -8.43500E-08
  436.109900     6.53600E-03     1.65900E-05    -8.35600E-08
  436.205016     6.56700E-03     1.65900E-05    -8.41700E-08
  436.300175     6.59900E-03     1.66000E-05    -8.47800E-08
  436.395374     6.62800E-03     1.66800E-05    -8.19800E-08
  436.490615     6.65800E-03     1.67200E-05    -8.18300E-08
  436.585898     6.69000E-03     1.67200E-05    -8.24400E-08
  436.681223     6.72100E-03     1.67200E-05    -8.30500E-08
  436.776589     6.75100E-03     1.67200E-05    -8.30500E-08
  436.871997     6.78200E-03     1.68000E-05    -8.22600E-08
  436.967446     6.81300E-03     1.68000E-05    -8.28800E-08
  437.062937     6.87800E-03     1.68500E-05    -8.41400E-08
  437.158470     6.96100E-03     1.68500E-05    -8.61500E-08
  437.254045     7.04100E-03     1.69300E-05    -8.53600E-08
  437.349661     7.12600E-03     1.69300E-05    -8.87900E-08
  437.445319     7.20900E-03     1.70400E-05    -8.86400E-08
  437.541019     7.29100E-03     1.70900E-05    -8.92300E-08
  437.636761     7.37300E-03     1.71200E-05    -9.12800E-08
  437.732545     7.45700E-03     1.71200E-05    -9.33000E-08
  437.828371     7.54000E-03     1.71700E-05    -9.45500E-08
  437.924239     7.62200E-03     1.72100E-05    -9.51400E-08
  438.020149     7.71700E-03     1.72500E-05    -9.78000E-08
  438.116101     7.84700E-03     1.72800E-05    -1.00600E-07
  438.212095     7.97700E-03     1.73600E-05    -1.01900E-07
  438.308131     8.10800E-03     1.73600E-05    -1.04700E-07
  438.404209     8.24000E-03     1.74000E-05    -1.08100E-07
  438.500329     8.37000E-03     1.75100E-05    -1.08800E-07
  438.596491     8.50300E-03     1.75500E-05    -1.12900E-07
  438.692696     8.63400E-03     1.75500E-05    -1.15700E-07
  438.788943     8.76300E-03     1.76200E-05    -1.16300E-07
  438.885232     8.89600E-03     1.76600E-05    -1.20300E-07
  438.981563     9.02900E-03     1.77000E-05    -1.23200E-07
  439.077936     9.19000E-03     1.77800E-05    -1.25800E-07
  439.174352     9.36100E-03     1.78800E-05    -1.28700E-07
  439.270810     9.53100E-03     1.80000E-05    -1.29900E-07
  439.367311     9.70100E-03     1.80700E-05    -1.33400E-07
  439.463854     9.87200E-03     1.81500E-05    -1.36800E-07
  439.560440     1.00400E-02     1.82700E-05    -1.38100E-07
  439.657067     1.02100E-02     1.83000E-05    -1.42300E-07
  439.753738     1.03800E-02     1.84900E-05    -1.43600E-07
  439.850451     1.05500E-02     1.85600E-05    -1.46400E-07
  439.947206     1.07200E-02     1.86400E-05    -1.49100E-07
  440.044004     1.08900E-02     1.87600E-05    -1.51800E-07
  440.140845     1.10600E-02     1.88700E-05    -1.56600E-07
  440.237728     1.12200E-02     1.89800E-05    -1.59300E-07
  440.334654     1.13800E-02     1.90600E-05    -1.63400E-07
  440.431623     1.15500E-02     1.92500E-05    -1.64700E-07
  440.528634     1.17100E-02     1.93300E-05    -1.70200E-07
  440.625688     1.18700E-02     1.94400E-05    -1.72800E-07
  440.722785     1.20400E-02     1.95900E-05    -1.75500E-07
  440.819925     1.22000E-02     1.97100E-05    -1.78200E-07
  440.917108     1.23600E-02     1.98200E-05    -1.82300E-07
  441.014333     1.25200E-02     1.99400E-05    -1.84300E-07
  441.111601     1.26400E-02     2.00500E-05    -1.87000E-07
  441.208912     1.27500E-02     2.01700E-05    -1.88900E-07
  441.306267     1.28700E-02     2.03600E-05    -1.90100E-07
  441.403664     1.29800E-02     2.04400E-05    -1.92800E-07
  441.501104     1.31000E-02     2.06300E-05    -1.94000E-07
  441.598587     1.32100E-02     2.07500E-05    -1.95900E-07
  441.696113     1.33300E-02     2.09500E-05    -1.95100E-07
  441.793682     1.34400E-02     2.10700E-05    -1.98400E-07
  441.891295     1.35600E-02     2.11800E-05    -1.99600E-07
  441.988950     1.36700E-02     2.13000E-05    -2.02300E-07
  442.086649     1.37700E-02     2.15700E-05    -2.02800E-07
  442.184391     1.38600E-02     2.17700E-05    -2.03900E-07
  442.282176     1.39500E-02     2.19600E-05    -2.05800E-07
  442.380004     1.40500E-02     2.22700E-05    -2.05500E-07
  442.477876     1.41400E-02     2.24700E-05    -2.08100E-07
  442.575791     1.42300E-02     2.26600E-05    -2.09300E-07
  442.673749     1.43300E-02     2.29300E-05    -2.10500E-07
  442.771751     1.44200E-02     2.31300E-05    -2.12400E-07
  442.869796     1.45200E-02     2.33600E-05    -2.13500E-07
  442.967885     1.46100E-02     2.36000E-05    -2.14000E-07
  443.066017     1.46500E-02     2.39100E-05    -2.13100E-07
  443.164192     1.46600E-02     2.41400E-05    -2.13600E-07
  443.262411     1.46700E-02     2.43700E-05    -2.14100E-07
  443.360674     1.46800E-02     2.46400E-05    -2.12600E-07
  443.458980     1.47000E-02     2.49900E-05    -2.10900E-07
  443.557330     1.47100E-02     2.52600E-05    -2.09400E-07
  443.655723     1.47200E-02     2.55000E-05    -2.09900E-07
  443.754160     1.47300E-02     2.58400E-05    -2.06900E-07
  443.852641     1.47400E-02     2.61200E-05    -2.06700E-07
  443.951165     1.47500E-02     2.63900E-05    -2.05100E-07
  444.049734     1.47300E-02     2.66600E-05    -2.02800E-07
  444.148346     1.46700E-02     2.69300E-05    -1.99200E-07
  444.247001     1.46200E-02     2.71600E-05    -1.95600E-07
  444.345701     1.45600E-02     2.74000E-05    -1.92700E-07
  444.444444     1.45000E-02     2.76300E-05    -1.88500E-07
  444.543232     1.44400E-02     2.79000E-05    -1.85500E-07
  444.642063     1.43800E-02     2.81400E-05    -1.81100E-07
  444.740938     1.43300E-02     2.83700E-05    -1.78300E-07
  444.839858     1.42700E-02     2.86400E-05    -1.74000E-07
  444.938821     1.42100E-02     2.89500E-05    -1.69600E-07
  445.037828     1.41400E-02     2.90300E-05    -1.68200E-07
  445.136880     1.40600E-02     2.91100E-05    -1.65400E-07
  445.235975     1.39800E-02     2.91500E-05    -1.64000E-07
  445.335115     1.39000E-02     2.91500E-05    -1.63200E-07
  445.434298     1.38200E-02     2.91900E-05    -1.61100E-07
  445.533526     1.37400E-02     2.92700E-05    -1.57500E-07
  445.632799     1.36600E-02     2.92300E-05    -1.56900E-07
  445.732115     1.35700E-02     2.93100E-05    -1.54700E-07
  445.831476     1.34900E-02     2.93500E-05    -1.52600E-07
  445.930881     1.34100E-02     2.93500E-05    -1.51800E-07
