    WLVAC         C0           C1           C2           BETA         RHO
 2.73700e+03  1.69036e+02  5.60052e-02  5.10339e-04  1.81558e+00  3.35019e-02
 2.73800e+03  1.67208e+02  4.84711e-02  2.81874e-04  1.81267e+00  3.34909e-02
 2.73900e+03  1.66157e+02  4.34477e-02  2.24627e-04  1.80977e+00  3.34799e-02
 2.74000e+03  1.63639e+02  4.18875e-02  2.64874e-04  1.80687e+00  3.34689e-02
 2.74100e+03  1.62263e+02  3.93827e-02  2.20480e-04  1.80398e+00  3.34579e-02
 2.74200e+03  1.60867e+02  3.58116e-02 -1.07379e-04  1.80109e+00  3.34469e-02
 2.74300e+03  1.59195e+02  4.01769e-02  4.00041e-05  1.79821e+00  3.34359e-02
 2.74400e+03  1.58340e+02  3.94315e-02  6.37622e-05  1.79534e+00  3.34249e-02
 2.74500e+03  1.58277e+02  3.31985e-02  1.81600e-05  1.79247e+00  3.34139e-02
 2.74600e+03  1.59029e+02  1.60089e-02 -3.84296e-04  1.78961e+00  3.34029e-02
 2.74700e+03  1.58901e+02  2.35772e-02  9.60975e-05  1.78675e+00  3.33919e-02
 2.74800e+03  1.58781e+02  3.05923e-02  2.20920e-04  1.78390e+00  3.33810e-02
 2.74900e+03  1.58910e+02  1.46197e-02 -2.44844e-04  1.78105e+00  3.33700e-02
 2.75000e+03  1.57223e+02  2.70169e-02  7.31978e-05  1.77821e+00  3.33590e-02
 2.75100e+03  1.56326e+02  3.01554e-02  2.57320e-04  1.77538e+00  3.33480e-02
 2.75200e+03  1.55063e+02  1.49234e-02 -1.72955e-04  1.77255e+00  3.33370e-02
 2.75300e+03  1.52983e+02  3.26555e-02  1.55426e-04  1.76973e+00  3.33260e-02
 2.75400e+03  1.51836e+02  4.00409e-02  1.66097e-04  1.76691e+00  3.33150e-02
 2.75500e+03  1.50018e+02  4.85972e-02  2.07591e-04  1.76410e+00  3.33040e-02
 2.75600e+03  1.49140e+02  3.48297e-02  8.72892e-05  1.76129e+00  3.32930e-02
 2.75700e+03  1.47147e+02  4.13313e-02  3.67094e-04  1.75849e+00  3.32820e-02
 2.75800e+03  1.46159e+02  3.09032e-02 -1.98420e-04  1.75569e+00  3.32710e-02
 2.75900e+03  1.45711e+02  1.86500e-02 -5.15207e-04  1.75290e+00  3.32600e-02
 2.76000e+03  1.44205e+02  3.08449e-02  2.63116e-05  1.75012e+00  3.32490e-02
 2.76100e+03  1.44105e+02  2.84081e-02  5.50310e-05  1.74734e+00  3.32380e-02
 2.76200e+03  1.44286e+02  8.77530e-03 -3.40591e-04  1.74456e+00  3.32270e-02
 2.76300e+03  1.43290e+02  2.29146e-02 -2.42463e-04  1.74179e+00  3.32160e-02
 2.76400e+03  1.41775e+02  3.57177e-02  1.39568e-04  1.73903e+00  3.32050e-02
 2.76500e+03  1.40515e+02  1.91076e-02 -5.11939e-05  1.73627e+00  3.31940e-02
 2.76600e+03  1.38401e+02  3.88643e-02  2.45845e-04  1.73352e+00  3.31830e-02
 2.76700e+03  1.37693e+02  3.31632e-02 -1.93930e-05  1.73077e+00  3.31720e-02
 2.76800e+03  1.36831e+02  2.97800e-02  8.75297e-05  1.72803e+00  3.31610e-02
